Date,1,2,3,4,5,6,7,8,9,10,,,,,,1,2,3,4,5,6,7,8,9,10
46027,3.63,4.024,3.872,3.502,3.387,3.172,3.222,4.128,4.641,3.683,,,State,Zone,,OH,CT,NY,NC,MI,TX,CO,AZ,CA,WA
46034,3.613,4.01,3.858,3.484,3.365,3.16,3.185,4.11,4.613,3.674,,,AK,9,,IL,ME,NJ,SC,WI,LA,MT,NV,HI,OR
46041,3.653,4.007,3.843,3.548,3.445,3.248,3.246,4.189,4.658,3.782,,,HI,9,,IN,MA,DE,GA,MN,MS,ID,,AK,
46048,3.694,4.019,3.876,3.591,3.579,3.325,3.367,4.301,4.712,3.944,,,WA,10,,TN,NH,PA,,IA,AL,WY,,,
46055,3.763,4.235,3.988,3.628,3.625,3.379,3.419,4.377,4.83,3.982,,,OR,10,,KY,RI,MD,,MO,FL,UT,,,
46062,3.756,4.236,4.021,3.605,3.636,3.377,3.539,4.376,4.845,3.969,,,ID,7,,,VT,VA,,ND,OK,NM,,,
46069,3.763,4.215,4.03,3.612,3.664,3.412,3.607,4.383,4.86,3.97,,,CA,9,,,,WV,,SD,AR,,,,
46076,3.843,4.201,4.104,3.708,3.798,3.489,3.683,4.465,4.944,4.05,,,NV,8,,,,DC,,NE ,,,,,
46083,3.924,4.314,4.122,3.808,3.888,3.598,3.737,4.534,4.99,4.138,,,AZ,8,,,,,,KS,,,,,
46090,4.901,4.97,4.94,4.88,4.801,4.627,4.397,5.556,6.096,5.088,,,UT,7,,,,,,,,,,,
46097,5.105,5.236,5.196,5.057,4.97,4.835,4.796,5.856,6.428,5.36,,,NM,7,,,,,,,,,,,
46104,5.48,5.759,5.629,5.395,5.16,5.134,5.174,6.31,6.87,5.826,,,CO,7,,,,,,,,,,,
46111,5.535,5.825,5.834,5.394,5.105,5.105,5.27,6.596,7.219,6.056,,,MT,7,,,,,,,,,,,
46118,5.74,5.997,5.98,5.624,5.304,5.415,5.412,6.924,7.567,6.366,,,WY,7,,,,,,,,,,,
46125,5.674,6.024,5.996,5.518,5.382,5.31,5.256,6.822,7.559,6.183,,,ND,5,,,,,,,Fuel,FSC %,,,
46132,5.494,5.862,5.924,5.297,5.165,5.069,5.213,6.62,7.325,6.01,,,SD,5,,,,,,,4,0.16,,,
46139,5.425,5.834,5.843,5.229,5.131,5.012,5.27,6.53,7.228,5.926,,,KS,5,,,,,,,4.25,0.165,,,
,,,,,,,,,,,,,NE,5,,,,,,,4.5,0.17,,,
,,,,,,,,,,,,,MN,5,,,,,,,4.75,0.175,,,
,,,,,,,,,,,,,IA,5,,,,,,,5,0.18,,,
,,,,,,,,,,,,,MO,5,,,,,,,5.25,0.185,,,
,,,,,,,,,,,,,IL,1,,Zone,Fuel,FSC%,,,5.5,0.19,,,
,,,,,,,,,,,,,WI,5,,1,5.425,"=@XLOOKUP(FLOOR(R24,0.25),$V$17:$V$41,$W$17:$W$41)",,,5.75,0.195,,,
,,,,,,,,,,,,,KY,1,,2,5.834,"=@XLOOKUP(FLOOR(R25,0.25),$V$17:$V$41,$W$17:$W$41)",,,6,0.2,,,
,,,,,,,,,,,,,IN,1,,3,5.843,"=@XLOOKUP(FLOOR(R26,0.25),$V$17:$V$41,$W$17:$W$41)",,,6.25,0.205,,,
,,,,,,,,,,,,,OH,1,,4,5.229,"=@XLOOKUP(FLOOR(R27,0.25),$V$17:$V$41,$W$17:$W$41)",,,6.5,0.21,,,
,,,,,,,,,,,,,MI,5,,5,5.131,"=@XLOOKUP(FLOOR(R28,0.25),$V$17:$V$41,$W$17:$W$41)",,,6.75,0.215,,,
,,,,,,,,,,,,,TX,6,,6,5.012,"=@XLOOKUP(FLOOR(R29,0.25),$V$17:$V$41,$W$17:$W$41)",,,7,0.22,,,
,,,,,,,,,,,,,OK,6,,7,5.27,"=@XLOOKUP(FLOOR(R30,0.25),$V$17:$V$41,$W$17:$W$41)",,,7.25,0.225,,,
,,,,,,,,,,,,,LA,6,,8,6.53,"=@XLOOKUP(FLOOR(R31,0.25),$V$17:$V$41,$W$17:$W$41)",,,7.5,0.23,,,
,,,,,,,,,,,,,AR,6,,9,7.228,"=@XLOOKUP(FLOOR(R32,0.25),$V$17:$V$41,$W$17:$W$41)",,,7.75,0.235,,,
,,,,,,,,,,,,,FL,6,,10,5.926,"=@XLOOKUP(FLOOR(R33,0.25),$V$17:$V$41,$W$17:$W$41)",,,8,0.24,,,
,,,,,,,,,,,,,GA,4,,,,,,,8.25,0.245,,,
,,,,,,,,,,,,,SC,4,,,,,,,8.5,0.25,,,
,,,,,,,,,,,,,NC,4,,,,,,,8.75,0.255,,,
,,,,,,,,,,,,,TN,1,,,,,,,9,0.26,,,
,,,,,,,,,,,,,AL,6,,,,,,,9.25,0.265,,,
,,,,,,,,,,,,,MS,6,,,,,,,9.5,0.27,,,
,,,,,,,,,,,,,DC,3,,,,,,,9.75,0.275,,,
,,,,,,,,,,,,,VA,3,,,,,,,10,0.28,,,
,,,,,,,,,,,,,WV,3,,,,,,,,,,,
,,,,,,,,,,,,,MD,3,,,,,,,,,,,
,,,,,,,,,,,,,DE,3,,,,,,,,,,,
,,,,,,,,,,,,,PA,3,,,,,,,,,,,
,,,,,,,,,,,,,NJ,3,,,,,,,,,,,
,,,,,,,,,,,,,NY,3,,,,,,,,,,,
,,,,,,,,,,,,,MA,2,,,,,,,,,,,
,,,,,,,,,,,,,CT,2,,,,,,,,,,,
,,,,,,,,,,,,,RI,2,,,,,,,,,,,
,,,,,,,,,,,,,ME,2,,,,,,,,,,,
,,,,,,,,,,,,,NH,2,,,,,,,,,,,
,,,,,,,,,,,,,VT,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
